roi,vessel,airway,include,obs
20200728_NL6699-01,,,TRUE,
20200728_NL6699-02,,,TRUE,
20200728_NL6699-03,"32,39",20,TRUE,
20200728_NL6699-04,"43,56,49",,TRUE,
20200728_NL6699-05,"30,34",13,TRUE,
20200728_NL6699-06,"29,31,42",35,TRUE,
20200728_NL6699-07,"10,52,61",,TRUE,
20200728_NL6699-08,,,TRUE,
20200804_NL1933A_RUN2-01,"25,36,56,61",,TRUE,
20200804_NL1933A_RUN2-02,"21,50,60",,TRUE,
20200804_NL1933A_RUN2-03,"35,37,38,44,46",,TRUE,
20200804_NL1933A_RUN2-04,"7,17",,TRUE,
20200804_NL1933A_RUN2-05,"9,11,43,95,115,124,129",69,TRUE,
20200804_NL1933A_RUN2-06,"5,8,12",,TRUE,
20200804_NL1933A_RUN2-07,,,TRUE,
20200804_NL1933A_RUN2-08,35,,TRUE,
20200804_NL1933A_RUN2-09,"12,15,48,49,69,72,76",,TRUE,
20200804_NL1933A_RUN2-10,"1,77,95",,TRUE,
20200629_NL1915A-01,"19,40",,FALSE,
20200629_NL1915A-02,16,,FALSE,
20200629_NL1915A-03,,,FALSE,
20200629_NL1915A-04,,,FALSE,
20200629_NL1915A-05,"5,12,15",,TRUE,
20200629_NL1915A-06,1,,FALSE,
20200629_NL1915A-07,"39,40,42",,FALSE,
20200629_NL1915A-08,"3,4,6",,FALSE,
20200629_NL1915A-09,"5,11,17,19",,FALSE,
20200629_NL1915A-10,"8,9,12,14,15,36,39",,FALSE,
20200702_NL_ARCHOI114-01,12,,TRUE,
20200702_NL_ARCHOI114-02,"33,35",,TRUE,
20200702_NL_ARCHOI114-03,"12,25",,TRUE,
20200702_NL_ARCHOI114-04,"18,14,22,17",,TRUE,
20200702_NL_ARCHOI114-05,"8,25",,TRUE,
20200702_NL_ARCHOI114-06,"25,28,31,35",,TRUE,
20200702_NL_ARCHOI114-07,"13,15,17,20",16,TRUE,illustrate
20200702_NL_ARCHOI114-08,"7,18","8,9,10,11",TRUE,illustrate
20200702_NL_ARCHOI114-09,"3,8,9,10,13",,FALSE,
